Date,Time,Customer,PType,Type,QTY,Guide
01-Jan-19,08:00,Private,CSH,Children,3,
01-Jan-19,08:00,Private,CSH,Adults,23,
01-Jan-19,08:45,Bonisa Tours,VCH,Adults,10,Klaas
01-Jan-19,08:45,Live the Journey,VCH,Adults,17,Jaques
01-Jan-19,08:45,Private,CSH,Adults,2,
01-Jan-19,08:45,Private,CSH,Adults,2,
01-Jan-19,08:45,Tourvest Destination Management,VCH,Adults,17,Heidi
01-Jan-19,09:30,Carols Tours,CSH,Adults,10,Carol
01-Jan-19,09:30,Private,CSH,Adults,9,
01-Jan-19,09:30,Private,CSH,Adults,4,
01-Jan-19,09:30,Private,CSH,Adults,20,
01-Jan-19,09:30,Private,CSH,Adults,3,
01-Jan-19,09:30,Sharon Africa Travel (Pty) Ltd.,CSH,Adults,2,Cindy
01-Jan-19,09:30,Springbok Atlas,VCH,Adults,34,
01-Jan-19,10:15,Africa Incoming (Pty) Ltd,VCH,Adults,2,Priyanka 
01-Jan-19,10:15,ERM Tours (Pty) Ltd,VCH,Adults,1,Gavin 
01-Jan-19,10:15,Gem Tours & Travel,CSH,Adults,60,
01-Jan-19,10:15,Gem Tours & Travel,CSH,Adults,2,Deep
01-Jan-19,10:15,Gem Tours & Travel,CSH,Children,1,Deep
01-Jan-19,10:15,Hylton Ross Exclusive Touring,VCH,Adults,7,Robbie
01-Jan-19,10:15,Hylton Ross Exclusive Touring,VCH,Children,2,Robbie
01-Jan-19,10:15,Meljo,CSH,Children,2,Sydney
01-Jan-19,10:15,Meljo,CSH,Adults,4,Sydney
01-Jan-19,10:15,Private,CSH,Adults,6,
01-Jan-19,10:15,Travcare Holidays,VCH,Adults,2,Shabier
01-Jan-19,13:00,Travcare Holidays,VCH,Adults,2,Irfaan
01-Jan-19,15:00,CASUAL BOOKINGS,CSH,Children,1,
01-Jan-19,15:00,CASUAL BOOKINGS,CSH,Adults,3,
01-Jan-19,15:00,CITA,CSH,Adults,14,Ming
01-Jan-19,15:00,ERM Tours (Pty) Ltd,VCH,Children,1,Stanton
01-Jan-19,15:00,ERM Tours (Pty) Ltd,VCH,Adults,25,Stanton
01-Jan-19,15:00,Hylton Ross Exclusive Touring,CSH,Adults,5,Enrico 
01-Jan-19,15:00,Hylton Ross Exclusive Touring,VCH,Adults,2,Enrico 
01-Jan-19,15:00,MPUM: ta Quality Touring Services,VCH,Adults,1,Danie
01-Jan-19,15:00,MPUM: ta Quality Touring Services,VCH,Adults,1,Danie
01-Jan-19,16:00,Live the Journey,VCH,Children,3,Herman
01-Jan-19,16:00,Live the Journey,VCH,Adults,17,Herman
01-Jan-19,16:00,Private,CSH,Adults,2,
02-Jan-19,08:00,TOURISM THAT CARES,VCH,Adults,18,Luis
02-Jan-19,08:45,Easy Africa Tours,VCH,Adults,25,Wendy
02-Jan-19,08:45,ERM Tours (Pty) Ltd,VCH,Children,1,Konny
02-Jan-19,08:45,ERM Tours (Pty) Ltd,VCH,Adults,14,Konny
02-Jan-19,09:30,Africa Gazago,CSH,Adults,2,Ludy
02-Jan-19,09:30,Africa Gazago,CSH,Adults,13,Lee
02-Jan-19,09:30,ARNH,CSH,Adults,12,Brian
02-Jan-19,09:30,Day Trippers,CSH,Adults,4,Bill
02-Jan-19,09:30,Easy travel,CSH,Adults,4,Joy
02-Jan-19,09:30,Hylton Ross Exclusive Touring,CSH,Adults,7,Nathaniel
